"column_C_ID_TICKET","column_C_REPORTED_DATE","column_C_SUMMARY","column_C_WITEL","column_C_WORK_ZONE","column_C_PERANGKAT"
"INC18874421","2024-11-07 23:19:49","GAMAS R5 | ACCESS | GPON | IMBAS CRA | PENYAMBUNGAN | BANCAR | (EST 08/11/2024 02:30) | GPON03-D5-BCR-2TBY | 172.23.63.12 | (PIC CITRA VIOLITA 081222919594)","MADIUN","BCR","GPON03-D5-BCR-2TBY"
"INC18869555","2024-11-07 20:35:07","[SQM PROACTIVE GAMAS] [ODP-BTU-NOLABEL/0]| IboosterG_6911730984448","MALANG","BTU","ODP-BTU-NOLABEL/0"
"INC18869512","2024-11-07 20:27:01","(REPAIR) IP T3 TERA P-D5-KLM/BE12_TO_P-D5-KPN/BE12_2x100G DOWN TRAFIC NORMAL","DENPASAR","KLM",""
"INC18868850","2024-11-07 20:08:58","GAMAS R5 | ACCESS | DISTRIBUSI | KU TERSERET KENDARAAN | PENYAMBUNGAN | DS-MLK-FE-05-02-01 | MALUK | (EST 07/11/2024 23:00) | GPON02-D5-MLK-3 [4/4] | (PIC FATHUL HIMNI +6282341019444)","NTB","MLK","ODP-MLK-FAE/07,ODP-MLK-FAE/06,ODP-MLK-FAE/08,DS-MLK-FE-05-02-01/01-01"
"INC18866770","2024-11-07 18:55:06","GAMAS R5 | ACCESS | DISTRIBUSI | CABLE RUSAK | PENYAMBUNGAN | DS-TET-FE-02-01-01 | TENTE | (EST 07/11/2024 23:00) | ODC-TET-FAB | GPON01-D5-TET-3 [3/7, 3/9, 3/14] | (PIC FATHUL HIMNI +6282341019444)","NTB","TET","ODP-TET-FAB/26,ODP-TET-FAB/39,ODP-TET-FAB/35,ODC-TET-FAB,DS-TET-FE-02-01-01/09"
"INC18866308","2024-11-07 18:36:31","GAMAS R5 | ACCESS | DISTRIBUSI | KU TERSERET KENDARAAN | PENYAMBUNGAN | DS-SMP-FE-22-01-07/03-01-03 | SUMENEP | ODC-SMP-FY | (EST 07/11/2024 24:00) | GPON01-D5-SMP-3 [12/8] | (PIC: Joni Suprapto +628117600800)","MADURA","SMP","ODC-SMP-FY,DS-SMP-FE-22-01-07/03-01"
"INC18865285","2024-11-07 18:10:12","GAMAS R5 | ACCESS | DISTRIBUSI | CABLE RUSAK | GANTI DAN TERMINASI ULANG  | DS-TGS-FE-01-02/02-01 | TONGAS | (EST 07/11/2024 24:00) | GPON00-D5-TGS-5 [2/5,2/12]; GPON01-D5-TGS-2 [1/9] | (PIC BRIYAN 082245223460)","PASURUAN","TGS","DS-TGS-FE-01-02/02-01,ODC-TGS-FA"
"INC18863892","2024-11-07 17:36:21","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | PENYAMBUNGAN | DS-GDG-FE-13-01-01/01-01 | GADANG | (EST 07/11/2024 02:00) | ODC-GDG-FS | GPON00-D5-GDG-3 [17/10], GPON02-D5-GDG-3 [5/11] | (PIC: PAK TEGUH RIYANTO +6281339001008 )","MALANG","GDG","ODC-GDG-FS,DS-GDG-FE-13-01-01/01-01A"
"INC18862347","2024-11-07 16:59:33","GAMAS R5 | ACCESS | DISTRIBUSI | KU TERSERET KENDARAAN | GANTI KU | FCL-BCR-02-05 | BANCAR | (EST 07/11/2024 20:00)  | GPON01-D5-BCR-2 [1/8] | (PIC BAGUS SETYO 081317906207)","MADIUN","BCR","ODP-BCR-F02/05,ODP-BCR-F02/06"
"INC18860818","2024-11-07 16:30:52","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | GANTI DAN TERMINASI ULANG | DS-LMJ-FE-03-01/03.01 | LUMAJANG | ODC-LMJ-FC | (EST 07/11/2024 24:00) | GPON00-D5-LMJ-3 [6/7,6/8,6/9,6/11] | (PIC: BRIYAN 082245223460)","PASURUAN","LMJ","ODC-LMJ-FC,ODP-LMJ-FC/25,ODP-LMJ-FC/27,ODP-LMJ-FC/33,ODP-LMJ-FC/23,ODP-LMJ-FC/20,DS-LMJ-FE-03-01/03.01"
"INC18860280","2024-11-07 16:19:39","GAMAS R5 | ACCESS | DISTRIBUSI | AKIBAT HEWAN | PENYAMBUNGAN | DS-DMO-FE-18-02-02/05.01 | MERGOYOSO | (EST 07/11/2024 19:30) | ODC-DMO-FAE | GPON05-D5-DMO-3 [12/8] | (PIC: PAK FIRMAN HIDAYAT +628114222252)","SURABAYA UTARA","MGO","DS-DMO-FE-18-02-02/05.01,ODC-DMO-FAE"
"INC18858214","2024-11-07 15:45:27","GAMAS R5 | ACCESS | GPON | UPLINK OLT BACKBONE | PENYAMBUNGAN | SUMBAWA (MARONGE) | (EST 07/11/2024 20:00) | GPON05-D5-SBW-3MRG | 172.25.213.186 (PIC PAK FATHUL HIMNI +6282341019444)","NTB","SBW","GPON05-D5-SBW-3MRG"
"INC18856251","2024-11-07 15:18:49","GAMAS R5 | ACCESS | RABASAN | PENYAMBUNGAN TEMPORER | DS-UBN-FE-10-03-01/06 | UBUNG | ODC-UBN-FCX | (EST 07/11/2024 24.00) | GPON05-D5-UBN-5 [6/7,6/5,6/4,6/3] (PIC: ANGGA SUDYATMIKA 082147519679)","DENPASAR","UBN","ODC-UBN-FCX,ODP-UBN-FCX/62,ODP-UBN-FCX/61,ODP-UBN-FCX/60,ODP-UBN-FCX/58,ODP-UBN-FCX/59,ODP-UBN-FCX/64,ODP-UBN-FCX/63,ODP-UBN-FCX/65,DS-UBN-FE-10-03-01/06-01"
"INC18856340","2024-11-07 15:14:25","(REPAIR) TRA T3: Termonitor Alarm LOS SKSO Ruas CLS Bayuurip - Gresik","SURABAYA UTARA","GSK",""
"INC18855778","2024-11-07 15:07:41","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | PENYAMBUNGAN TEMPORER| DS-PON-FE-07-04/02 | PONOROGO | (EST 07/11/2024 19:00) | GPON01-D5-PON-3 [3/11,3/7] | (PIC ALVIAN 082141569411)","MADIUN","PON","DS-PON-FE-07-04/02.01,ODC-PON-FAU"
"INC18855149","2024-11-07 15:00:24","(REPAIR) TRA T3: Termonitor Alarm LOS SKSO Ruas Empang - Sumbawa","NTB","EMP",""
"INC18854838","2024-11-07 14:55:44","(REPAIR)IP.T3[SKSO Ruas Empang - Sumbawa] TERA: P-D5-MTR TO P-D5-BIM, BE1 5X10G DAN 2X100G | METRO: ME2-D5-SBW TO ME-D5-EMP,eth4 3x10G | ME9-D5-MTR TO ME2-D5-END,eth23 7X10G | ME9-D5-MTR TO ME2-D5-WGP,eth8 3X10G DOWN TRAFIK NORMAL","NTB","SBW",""
"INC18853948","2024-11-07 14:43:10","GAMAS R5 | ACCESS | FEEDER | RABASAN | GANTI DAN TERMINASI ULANG | FE-PBL-13-01 | PROBOLINGGO | (EST 07/11/2024 23:00) | GPON00-D5-PBL-3 [9/11]; GPON01-D5-PBL-3 [16/15]; GPON02-D5-PBL-5 [2/1,4/15]; GPON03-D5-PBL-3 [17/9]; GPON04-D5-PBL-2 [4/10,4/11,4/12,4/13,4/14,8/0,8/1,13/14,13/15]; GPON04-D5-PBL-2 [2/13,2/14,3/8,3/9,3/13] | KU 24 CORE (PIC BRIYAN 082245223460)","PASURUAN","PBL","ODC-PBL-FAM,FE-PBL-13-01"
"INC18851537","2024-11-07 14:12:24","GAMAS R5 | ACCESS | DISTRIBUSI | AKIBAT POHON | GANTI KU DAN TERMINASI ODC | DS-WAT-FE-08-01/02 | WATES | (EST 7/11/24 17:00) | ODC-WAT-FW | GPON00-D5-WAT-3A [1/12 , 1/8 , 1/9] | (PIC: MATIAS +6281330788773)","KEDIRI","WAT","ODC-WAT-FW,ODP-WAT-FW/17,ODP-WAT-FW/19,ODP-WAT-FW/13,DS-WAT-FE-08-01/02-01"
"INC18848384","2024-11-07 13:31:12","GAMAS R5 | ACCESS | DISTRIBUSI | PIHAK KETIGA | PENYAMBUNGAN | DS-BBA-FE-03-05/05 | BABAD | (EST 07/11/2024 24:00)  ODC-BBA-FAN ODC-BBA-FAN |GPON00-D5-BBA-2BNO [2/12, 2/8 ] | (PIC: FIRMAN +6282336456179 )","SURABAYA UTARA","BBA","DS-BBA-FE-03-05/05,ODC-BBA-FAN"
"INC18846834","2024-11-07 13:10:14","[SQM PROACTIVE GAMAS] [ODP-TRE-FS/4,ODP-TRE-FS/3]| IboosterG_44911730957455","KEDIRI","TRE","ODP-TRE-FS/4,ODP-TRE-FS/3"
"INC18844199","2024-11-07 12:32:39","GAMAS R5 | ACCESS | DISTRIBUSI | CABLE RUSAK | PENYAMBUNGAN | DS-GDW-FE-04-01/07-01 | GONDANGWETAN | (EST 07/11/2024 24:00) | ODC-GDW-FD | GPON00-D5-GDW-3 [9/5] | (PIC: BRIYAN 082245223460)","PASURUAN","GDW","ODC-GDW-FD,DS-GDW-FE-04-01/07-01"
"INC18842056","2024-11-07 11:54:51","GAMAS R5 | ACCESS | DISTRIBUSI | RABASAN | PENYAMBUNGAN | DS-PBL-FE-13-02-01/01-01 | PROBOLINGGO  | (EST 07/11/2024 24:00) | ODC-PBL-FAN | GPON00-D5-KRZ-3 [7/2,8/15,12/6] | (PIC: BRIYAN 082245223460)","PASURUAN","PBL","ODC-PBL-FAN,DS-PBL-FE-13-02-01/01-01"
"INC18840263","2024-11-07 11:24:30","GAMAS R5 | ACCESS | GPON | CATUAN PLN | PLN PN | PROBOLINGGO (SBR) | (EST 07/11/2024 12:00) | GPON06-D5-PBL-3SBR | 172.27.104.159 | (PIC PAK AHMAD MUJIB 082114957673)","PASURUAN","PBL","GPON06-D5-PBL-3SBR"
"INC18838269","2024-11-07 10:59:32","GAMAS R5 | ACCESS | DISTRIBUSI | CABEL RUSAK | PENYAMBUNGAN | DS-JBR-FE-08-01/01 | JIMBARAN | (EST 07/11/2024 14:00)| ODC-JBR-FAQ | GPON07-D5-JBR-3LBS [2/1,1/7]  | (PIC: PAK I KETUT DHARMASUTA +6281310542704)","DENPASAR","JBR","DS-JBR-FE-08-01/01-01,ODC-JBR-FAQ"
"INC18832326","2024-11-07 09:35:09","[SQM PROACTIVE GAMAS] [ODP-SPG-FAA/5]| IboosterG_8941730944921","MADURA","SPG","ODP-SPG-FAA/5"
"INC18832059","2024-11-07 09:30:46","GAMAS R5 | ACCESS | ODP | PASSIVE RUSAK | PERBAIKAN | ODP-LKS-FGJ/09 | LAKARSANTRI | (EST 07/11/2024 ) | GPON04-D5-LKI-5 14/14 | (PIC: ARIS BAGUS 081331322031)","SURABAYA UTARA","LKI","ODP-LKS-FGJ/09"
"INC18831976","2024-11-07 09:26:38","GAMAS R5 | ACCESS | FEEDER | GALIAN / Pihak ketiga | PENYAMBUNGAN | FE-BTU-03-03 | BATU | (EST 07/11/2024 18:00) | GPON00-D5-BTU-3 [5/4,5/5,5/6,12/4,14/5,14/6,14/7,15/5,15/6,15/8]; GPON01-D5-BTU-3 [2/13,2/14,5/10,6/2]; GPON02-D5-BTU-5 [2/3,2/4,3/5,3/6,3/7,3/8]; GPON01-D5-BTU-3 [6/16,12/16]; GPON06-D5-BTU-3 [6/6] | KT FEEDER 48 CORE (PIC PAK TEGUH RIYANTO +6281339001008)","MALANG","BTU","FE-BTU-03-01A,ODC-BTU-FF"
"INC18830365","2024-11-07 09:05:07","[SQM PROACTIVE GAMAS] [ODP-TUL-FAD/2]| IboosterG_44921730943070","KEDIRI","TUL","ODP-TUL-FAD/2"
"INC18826083","2024-11-07 07:18:47","GAMAS R5 | ACCESS | GPON | CATUAN PLN | BACKUP GENSET | LARANTUKA | (EST 07/11/2024 10:00) | GPON03-D5-LRT-5BRU (BORU) | 172.25.212.206| (PIC YOHANES GERSON 628123750987)","NTT","LRT","GPON03-D5-LRT-5BRU"
"INC18825583","2024-11-07 06:55:58","(REPAIR) IP T3 TERA : P-D5-RKT TO P-D2-CKA,BE15 1X100G HARDFLAP","SURABAYA SELATAN","RKT",""
"INC18823225","2024-11-07 05:05:06","[SQM PROACTIVE GAMAS] [ODP-PME-FEB/6]| IboosterG_8911730928722","MADURA","PME","ODP-PME-FEB/6"
"INC18822977","2024-11-07 04:50:05","[SQM PROACTIVE GAMAS] [ODP-GSK-FF/48]| IboosterG_8911730927178","SURABAYA UTARA","GSK","ODP-GSK-FF/48"
"INC18823145","2024-11-07 04:50:05","[SQM PROACTIVE GAMAS] [ODP-BTU-FAE/26]| IboosterG_6911730927785","MALANG","BTU","ODP-BTU-FAE/26"
"INC18822305","2024-11-07 04:05:04","[SQM PROACTIVE GAMAS] [ODP-MLG-FEK/75]| IboosterG_6911730925096","MALANG","MLG","ODP-MLG-FEK/75"
"INC18820656","2024-11-07 03:05:07","[SQM PROACTIVE GAMAS] [ODP-MYR-FGV/2]| IboosterG_7911730921538","SURABAYA SELATAN","MYR","ODP-MYR-FGV/2"
"INC18819776","2024-11-07 02:05:03","[SQM PROACTIVE GAMAS] [ODP-GSK-FJ/87]| IboosterG_8931730917249","SURABAYA UTARA","GSK","ODP-GSK-FJ/87"
